,title,price,link
10,"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/512GB SSD/Intergrated Graphics/Win11/Silver/1.8 Kg), X1500EA-EJ122WS  ","24,990",http://amazon.in/ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_14?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-14
11,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","30,990",http://amazon.in/ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_15?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-15
12,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","28,990",http://amazon.in/Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-3
13,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","16,779",http://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_16?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-16
14,HP 15 Core i3 13th Gen (8GB RAM/512GB SSD/FHD/MS Office 21/Backlit Keyboard/15.6-inch (39.6 cm)/ Windows 11/Silver/1.59 kg) fd0186TU Laptop  ,"39,020",http://amazon.in/HP-Backlit-Keyboard-15-6-inch-fd0186TU/dp/B0D2KDCWJL/ref=sr_1_17?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-17
15,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg  ","47,990",http://amazon.in/Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_18?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-18
16,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 Whr/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG  ","19,990",http://amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=sr_1_19?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-19
17,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","47,990",http://amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_20?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-20
18,"ASUS Vivobook 15 Thin and Light Laptop,Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, (16GB RAM/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS  ","47,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfYnRmOjMwMDExOTExMzQzNzMzMjo6MDo6&url=%2FASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS%2Fdp%2FB0C7H6SSC8%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","31,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfYnRmOjMwMDM0MjM1NzYzNTUzMjo6MDo6&url=%2FAcer-5-5625U-Premium-Windows-AL15-41%2Fdp%2FB0DG2GCTD7%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
